artist_mbid,total_listen_count,total_user_count
935b9c64-39c0-42b7-a4f5-2566f1878fdb,761752,39128
aec2dd5b-739b-4849-a9b2-6565349a300b,895,296
f822be01-4e7e-498d-a7f8-2172a55dacfd,4383,467
d42ff4d4-0940-4900-a30a-c2b0cf5ad03b,263,67
3e1950f1-2bd2-4cc4-bb45-17198dab2472,211795,18962
ecfda98e-4675-4326-979d-04ea3ce5667b,70311,6895
926059d2-20a6-4667-8a35-95622b460279,876299,39815
5b075746-e9a3-4dfb-807d-ca78ac8b56b5,11,10
af211ac3-06f6-48ce-b9c8-e8a53b025c51,227430,3244
25f642c5-e469-4ddb-8a61-9c6368a25dc4,10988,247
d1644dce-5c33-4dcd-8fc5-72003fdc89d5,429407,9624
5d0dc00d-4b5c-435c-bd96-72a05c3d49e1,259711,12194
671d193b-921f-43e2-a7e5-ee02a73b804f,61188,7020
4b454a52-f497-422a-a4c3-827883328337,1424,342
a6c66fb5-c835-4b72-ac97-104cca0d24b1,111629,3672
ef8c4ade-2712-408a-bf49-aeeb59296f78,330140,4676
24762087-34ce-4f65-b743-7d8402cf30dd,4491517,102203
485ee180-a8c0-483a-afb5-15c2eb6b14fb,3360,591
c07a8ae5-3322-482f-9bfe-27448a2cf593,144002,10395
abb85a9c-c740-451a-8ea0-a236e1916c67,573593,26941
beef4bca-f2fe-4dfc-a3aa-68b3a625b844,1091,80
4006c69a-c50f-483a-bd1f-4f55e32ea7c9,162612,6837
b3cfd16f-a812-40b1-980e-69d23b169f04,6754,1212
c14e2a70-0877-464d-be6d-72c103f3bfd4,128788,10297
2c9418b5-d563-404b-892c-9195aa861c4d,458916,23913
ca5b38c2-f39d-45a4-ad3d-daf4448846ef,1617672,73938
28868947-1ff6-4021-8e84-a44ef80fb211,33103,3428
2aab61bc-67f4-4722-8c6e-e1821b2e32a6,3536018,136943
d148ae49-cb92-443a-8fe2-d272b9386a0c,49135,1723
0d831398-cfb9-421b-adf1-0dca532fdeee,177,38
5c2704c3-6f21-4e98-95a8-c7693a96bf03,13901,1376
55d83df2-0600-46db-b463-c65e7711a6f5,50,15
5e1dbdb2-87ac-41ff-9960-4a42a872327a,3669055,33381
6ae5c53a-da3f-4257-9c3f-50cc33a4e3db,30369,695
9ce29a24-b118-41a3-9297-2618f26b124d,1240444,27622
6f598e16-dda9-4e9b-ad51-7e48cb0eabbe,114,55
320d40d6-28dd-42d7-b05f-7e6e8d399a2e,2401920,70176
