area_mbid,area_name,area_sort_name,area_type,area_type_id,iso_codes,disambiguation,begin,end,ended
186e8436-9113-4597-b24f-e94e2e4ff1a5,Billy-le-Grand,Billy-le-Grand,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
7d17e263-6327-4098-9adb-33592e5a0a09,Saint-Benoît-sur-Loire,Saint-Benoît-sur-Loire,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
94456399-50b9-4e27-b65c-8374881a5fde,Bouvesse-Quirieu,Bouvesse-Quirieu,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
b5ba3c71-329d-496a-9d8a-d676ed50501b,Montflovin,Montflovin,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
970c57d6-242f-4d63-831b-8a0a5829490a,Centreville,Centreville,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
90586a5d-b604-401f-97f9-820ad1cfc9d6,Beaunay,Beaunay,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
b7abc17a-76de-40a2-88a5-c128228288a5,East Orange,East Orange,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
93461533-5284-476d-934d-7d8f9e8cdab0,Saint-Puy,Saint-Puy,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
431079ad-1744-4070-baa7-27224bf9cfb1,Lanner,Lanner,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
c3534ba0-c43d-4440-b5ac-7940aec0f602,Pyrmont,Pyrmont,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
4b65dda7-584d-45a7-b2a7-1376b8a87c67,Souligné-sous-Ballon,Souligné-sous-Ballon,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
a6443976-a192-4760-b134-a156a0cd131c,Escatalens,Escatalens,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
3ec99b6a-2c95-431f-9dbb-caa35b1f1acd,Auby,Auby,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
7fa6d629-9b13-43b5-b48c-9caf930a092f,Rivarennes,Rivarennes,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
1df36b7f-9dd3-450a-a979-481f1b05bbc6,Préchac-sur-Adour,Préchac-sur-Adour,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
fc45d0f3-215b-4d6d-9129-cad95dae2af4,Ports,Ports,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
929860c5-9e87-4b61-acde-f2917bd563ff,Izeaux,Izeaux,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
6f88f1e4-39d3-4120-9446-40a2fc13364b,Frasnoy,Frasnoy,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
6a01d99f-a969-4579-9104-328f8cd50d41,Moreilles,Moreilles,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
82eb3c3b-4042-4416-8e29-6118dfae0c58,Brion,Brion,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
f78efe7c-325d-4bc4-b124-3e5eecbb91f6,Cesseville,Cesseville,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
06addb14-aace-451d-9a6c-85bb67edd28f,Bois-Sainte-Marie,Bois-Sainte-Marie,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
be76a560-0034-4c7a-96fd-bc2338067332,Camprond,Camprond,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
5dc968a5-dc3f-4811-8619-2b0cae4c834f,Moncontour,Moncontour,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
b32bcef6-9f9e-4fa0-9715-d3e088881b92,Breux-Jouy,Breux-Jouy,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
1da2b2ce-a411-472b-a225-34ce56c46aa1,Étain,Étain,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
a4ec3bab-c8c0-41dc-86ad-55a39b0920fc,Seuil,Seuil,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
bf5159cd-89d9-473a-b0a5-e0ad3ebef8c2,Charancieu,Charancieu,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
00b9d78b-f211-4025-b6c8-af78b3b5925d,Saint-Laurent-Blangy,Saint-Laurent-Blangy,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
6d8f363c-7f36-4b9c-985e-ae91b3bba52b,Amel-sur-l'Étang,Amel-sur-l'Étang,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
789cf2d9-22ee-445e-b934-21b1c39b3f2c,Pleurtuit,Pleurtuit,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
27a2d0d7-9535-4cb9-a8e9-b2e340daf276,Critot,Critot,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
3da7e662-9e87-4cce-923d-c54f2bbf1497,Familly,Familly,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
5741772e-24f4-4a18-8684-8b49013c5802,Liginiac,Liginiac,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
94592757-4c3f-4eb4-8afc-a816a4acc7a4,Rupt-en-Woëvre,Rupt-en-Woëvre,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
af5fd21a-ce6d-4bef-b102-d50f05c6359e,Saint-Germain-Laprade,Saint-Germain-Laprade,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
ca0b273f-5fb9-4ead-a1f5-65946a76df42,Thauvenay,Thauvenay,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
52ce6ae9-3b4a-4c25-bfc1-77e65fd7f602,Éveux,Éveux,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
f1ad5273-34da-4e69-b377-b98b09c8bd93,Le Breuil,Le Breuil,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
4546365a-39ad-4279-a6c7-0ec60fff7b24,Parenty,Parenty,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
2b9893c7-5621-4b1c-b2ad-beea39a35c26,Brignancourt,Brignancourt,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
c64b6471-3c2f-4cc0-8888-88ecd3562519,Tubuai,Tubuai,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
fa7df682-e11d-4686-8dca-d2d949bf6b99,Brunelles,Brunelles,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
a4b01355-ae99-4cfe-87e9-b843ee4e5bec,Menucourt,Menucourt,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d0b90202-3fa6-49b5-91ea-f41869d09d30,Pagny-sur-Moselle,Pagny-sur-Moselle,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
5f76e2be-5722-460c-ae10-88558f6a875c,Arnèke,Arnèke,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
59a587c1-836f-4d99-90c5-f6ae28127bf2,Boz,Boz,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
7694f6ae-6179-44cc-a44b-8ad8b2dfbe74,Montfort,Montfort,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
b8b9c76b-f8b6-4e2b-a1cd-51685411d445,Muides-sur-Loire,Muides-sur-Loire,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
45e6d240-640a-4f97-b0eb-bfc859075364,Rigny-la-Nonneuse,Rigny-la-Nonneuse,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
9c90d0e8-8d3f-40b5-8905-19f1a9f62a60,Boissy-le-Cutté,Boissy-le-Cutté,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
8669bdbd-7c87-4594-866f-8e8c56a41911,Montberthault,Montberthault,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
377e6a20-cf9b-45b9-921c-3cbac9ee47ac,Brussey,Brussey,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
dc700887-1f2b-4d5a-b1b8-61f651a4428e,Cieux,Cieux,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
4ad9b121-9960-415c-91c2-b188d1325a0d,La Madelaine-sous-Montreuil,La Madelaine-sous-Montreuil,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
